titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
CARTOUCHE FUSIBLE T00 AD90 MICHAUD P244;9.07;FALSE;0.134916034;9.99;michaud;https://www.manomano.fr/catalogue/p/cartouche-fusible-t00-ad90-michaud-p244-18960056?model_id=18958058;cuadros;14/12/2020
SIEMENS - Tableau électrique pré-équipé 2 rangées 26 modules 8 disjoncteurs 2 interrupteurs différentiels + prise 2P+T;169;FALSE;0.13281268;9.9;nalto;https://www.manomano.fr/catalogue/p/siemens-tableau-electrique-pre-equipe-2-rangees-26-modules-8-disjoncteurs-2-interrupteurs-differentiels-prise-2p-t-1950810;cuadros;14/12/2020
Tableau électrique pré-équipé DRIVIA 1 rangee;145.95;FALSE;0.132638619;9;hager;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-equipe-drivia-1-rangee-293778;cuadros;14/12/2020
PINCE D'ANCRAGE AVEC ANSE - PA 25 MICHAUD K307;3.54;FALSE;0.132138808;7.49;abb;https://www.manomano.fr/catalogue/p/pince-dancrage-avec-anse-pa-25-michaud-k307-18959927?model_id=18957929;cuadros;14/12/2020
Tableau électrique pré-équipé 1 rangee 4 disjoncteurs;99;FALSE;0.132097007;9;hager;https://www.manomano.fr/catalogue/p/tableau-electrique-pre-equipe-1-rangee-4-disjoncteurs-841088;cuadros;14/12/2020
HAGER Gamma Tableau électrique prééquipé 2 rangées 2ID 40A 7 disjoncteurs;159;FALSE;0.132036392;9.99;michaud;https://www.manomano.fr/catalogue/p/hager-gamma-tableau-electrique-preequipe-2-rangees-2id-40a-7-disjoncteurs-25566812?model_id=25547704;cuadros;14/12/2020
Coffret chauffe-eau + 1 disj. 2A+ 1 disj. 20A + 1 contacteur Jour/Nuit - Zenitech;55.99;FALSE;0.131959723;;siemens;https://www.manomano.fr/catalogue/p/coffret-chauffe-eau-1-disjoncteur-2a-1-disjoncteur-20a-1-contacteur-jour-nuit-1827116;cuadros;14/12/2020
Tableau équipé 4 rangées HAGER (KIT4R);319;FALSE;0.131857456;7.05;legrand;https://www.manomano.fr/catalogue/p/tableau-equipe-4-rangees-hager-kit4r-26850651?model_id=26831542;cuadros;14/12/2020
TAMC EXTENS-1R-ID40A-AC -5DISJ;163.1;FALSE;0.131701733;9.99;michaud;https://www.manomano.fr/catalogue/p/schneider-electric-tableau-equipe-et-precable-1-rangee-13-modules-6508518;cuadros;14/12/2020
Michaud P238 Barrette de sectionnement 115 mm;10.14;FALSE;0.13169458;5.55;legrand;https://www.manomano.fr/catalogue/p/barrette-de-sectionnement-115-mm-michaud-p238-7673590;cuadros;14/12/2020
