titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
Interrupteur différentiel 4P 40A 30mA type B (CDB440F);701.97;false;0.0001546823;;hager;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-4p-40a-30ma-type-b-cdb440f-4022021;diferenciales;2020-12-17
Interrupteur différentiel PFGM - 4x63A 30mA Type AC / EATON;86.0;false;0.0001545107;3.99;MOELLER;https://www.manomano.fr/catalogue/p/pfgm-63-4-003-inter-diff-4x63a-30ma-type-ac-4046932;diferenciales;2020-12-17
Interrupteur differentiel ac sans vis 25a 30 ma hager;42.4;false;0.0001535377;3.99;hager;https://www.manomano.fr/catalogue/p/inter-diff-2p-25a-30ma-ac-sanvis-cds722f-54711;diferenciales;2020-12-17
Interrupteur différentiel type AC AEG - 2 modules - Intensité 40 A;43.52;false;0.0001502388;3.79;aeg;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-type-ac-aeg-6107558?model_id=6219757;diferenciales;2020-12-17
Interrupteur différentiel PFGM - 4x40A 30mA Type AC / EATON;58.7;false;0.0001491779;3.99;MOELLER;https://www.manomano.fr/catalogue/p/inter-diff-4x40a-30ma-type-ac-5802771;diferenciales;2020-12-17
Interrupteur magnétothermique différentiel Bticino AC 1P + N 30mA 32A 4500;33.39;false;0.0001475055;11.30;bticino;https://www.manomano.fr/catalogue/p/magnetothermic-differential-ac-1-polo-neutral-30ma-32a-4500ka-gc8813ac32-3599051;diferenciales;2020-12-17
Interrupteur Différentiel 2P 63A / 300mA / type AC Iskra;29.99;false;0.0001468515;6.70;ISKRA;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-63a-300ma-type-ac-iskra-15775999;diferenciales;2020-12-17
Merlin Gerin 18020 - Multi 9 - Emetteur radio modulaire IRE 230V - 1 canal;203.72;false;0.0001454873;4.55;schneider;https://www.manomano.fr/catalogue/p/merlin-gerin-18020-multi-9-emetteur-radio-modulaire-ire-230v-1-canal-6720603;diferenciales;2020-12-17
THOMSON Interrupteur différentiel a vis - 63A type AC NF;48.94;false;0.0001451593;7.80;thomson;https://www.manomano.fr/catalogue/p/thomson-interrupteur-differentiel-a-vis-63a-type-ac-nf-19384588?model_id=19382590;diferenciales;2020-12-17
DISJONCTEUR DIFFERENTIEL DX³ U+N 2A TYPE AC 30MA COURBE C 2M LEGRAND 410702;95.95;false;0.0001450586;9.99;legrand;https://www.manomano.fr/catalogue/p/disj-diff-dx-4500-vis-vis-u-n-230v-2a-typeac-30ma-6ka-courbe-c-2m-1785961;diferenciales;2020-12-17
Disjoncteur tétrapolaire différentiel de protection 30mA 63A (401137);637.56;false;0.0001436891;;legrand;https://www.manomano.fr/catalogue/p/disjoncteur-differentiel-de-protection-baco-diff-30-ma-4p-63-a-legrand-401137-4848689;diferenciales;2020-12-17
Bloc Différentiel VIGI DT40 3P+N 40A 300 AC Schneider Electric ACTI 9;147.44;false;0.0001431134;3.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/prodis-vigi-dt40-bloc-differentiel-3p-n-40a-300ma-instantane-type-ac-schneider-96677;diferenciales;2020-12-17
Bloc Différentiel VIGI IC60 3P 25A 30 AC Schneider Electric ACTI 9;258.83;false;0.0001405124;;SCHNEIDER;https://www.manomano.fr/catalogue/p/bloc-differentiel-vigi-ic60-3p-25a-30-ac-schneider-acti-9-126261;diferenciales;2020-12-17
Disj diff DX³ 6000 -vis/auto-4P-400V~-20A-typeAC-30mA-10kA-courbe C - 5M;213.28;false;0.0001401847;;legrand;https://www.manomano.fr/catalogue/p/disj-diff-dx-6000-vis-auto-4p-400v-20a-typeac-30ma-10ka-courbe-c-5m-2139337;diferenciales;2020-12-17
INTERRUPTEUR DIFFERENTIEL 2P.63A INSTANT. A;79.38;false;0.0001391826;3.99;gewiss;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-2p63a-instant-a-1114605;diferenciales;2020-12-17
Interrupteur à déclenchement libre 4p 63a;196.63;false;0.0001388717;;hager;https://www.manomano.fr/catalogue/p/hager-sa463-interrupteur-a-declenchement-libre-4p-63a-4142178;diferenciales;2020-12-17
Bloc differentiel 25A 1P+N 300mA type A SI DT40(remplacé par A9N21455) MULTI9 SCHNEIDER ELECTRIC 21455;85.41;false;0.0001385909;3.99;schneider;https://www.manomano.fr/catalogue/p/bloc-differentiel-25a-1p-n-300ma-type-a-si-dt40remplace-par-a9n21455-multi9-schneider-electric-21455-9242941;diferenciales;2020-12-17
DX3 BLOC DIFFERENTIEL 2 POSTES 40A AC 30MA LEGRAND 410401;71.4;false;0.0001375914;9.99;legrand;https://www.manomano.fr/catalogue/p/dx3-bloc-differentiel-2-postes-40a-ac-30ma-legrand-410401-559210;diferenciales;2020-12-17
Interrupteur Différentiel triphasé 63A / 30mA / type A;141.83;false;0.0001373791;6.70;GE DEVIENT ABB;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-triphase-63a-30ma-type-a-2311044;diferenciales;2020-12-17
